ID,top_s_dem_com_none_b_none_c_c,top_s_dem_cc_none_b_none_c_c
7303000,2.426,0.172
7306001,2.14,0.222
7308001,1.786,0.318
7308002,2.431,0.172
7317003,2.682,0.141
7317005,2.432,0.172
7320003,2.108,0.228
7321002,2.492,0.163
7322001,3.0410000000000004,0.11
7330001,2.251,0.2
7332001,2.779,0.131
7335001,3.4530000000000003,0.085
7335002,3.404,0.08800000000000001
7336001,2.8289999999999997,0.127
7339001,3.085,0.107
7341001,2.667,0.14300000000000002
7343001,2.62,0.14800000000000002
7350001,1.949,0.267
7350002,1.733,0.33799999999999997
7350003,2.053,0.24100000000000002
7354002,2.024,0.248
7355001,2.1790000000000003,0.214
7355002,1.6669999999999998,0.365
7355003,1.8259999999999998,0.304
7357002,3.42,0.087
7358001,2.322,0.188
7359001,3.0789999999999997,0.107
7372001,3.092,0.106
7374001,2.201,0.209
7379002,2.177,0.214
7381001,2.174,0.215
7383001,2.9610000000000003,0.11599999999999999
7400001,2.589,0.151
8104001,2.158,0.218
8105001,2.575,0.153
8106002,2.4859999999999998,0.16399999999999998
8112001,2.713,0.138
8114001,2.325,0.188
8117005,3.458,0.085
8117006,1.909,0.278
8123001,2.286,0.19399999999999998
8124001,2.6319999999999997,0.146
8124002,2.363,0.182
8130001,2.1919999999999997,0.21100000000000002
8130002,2.202,0.209
8132001,2.88,0.122
8134003,2.64,0.146
8135002,2.69,0.14
8140002,2.843,0.126
8141001,2.988,0.114
8144001,2.7110000000000003,0.138
8210003,2.161,0.217
8220001,2.404,0.17600000000000002
8220008,2.252,0.2
8220009,2.2769999999999997,0.196
8220010,2.2159999999999997,0.207
8304001,2.5989999999999998,0.15
8307002,2.271,0.19699999999999998
8308000,2.204,0.209
8312000,2.411,0.175
8312001,2.338,0.18600000000000003
8313000,1.73,0.33899999999999997
8313001,2.378,0.179
8316002,1.944,0.268
8317001,2.642,0.145
8317002,1.99,0.256
8317004,2.506,0.162
8317005,2.571,0.153
8319001,2.9219999999999997,0.11900000000000001
8323001,2.947,0.11699999999999999
8323002,2.77,0.132
8324002,3.133,0.10300000000000001
8330001,2.7030000000000003,0.139
8332001,2.705,0.139
8334001,2.875,0.12300000000000001
8342001,3.404,0.08800000000000001
8343001,2.784,0.131
8351001,4.053999999999999,0.062
8356001,2.509,0.161
8358001,3.532,0.081
8362001,2.336,0.18600000000000003
8366002,2.4219999999999997,0.17300000000000001
8372002,1.83,0.303
8376001,2.653,0.14400000000000002
8380001,2.5989999999999998,0.15
8380006,2.6069999999999998,0.149
8381003,3.215,0.098
8383001,3.46,0.085
8393002,2.19,0.212
8394001,3.068,0.10800000000000001
8700002,2.156,0.218
8700003,2.153,0.21899999999999997
8720001,2.565,0.154
8820001,2.274,0.196
8821001,2.27,0.19699999999999998
