ID,sf_s_ornl_brd_p10_b_none_c_c,sf_s_ornl_brd_p25_b_none_c_c,sf_s_ornl_brd_p50_b_none_c_c,sf_s_ornl_brd_p75_b_none_c_c,sf_s_ornl_brd_p90_b_none_c_c,sf_s_ornl_brd_mean_b_none_c_c
5730008,10,25,50,75,90,56
5734001,51,110,157,233,987,404
5737002,47,108,164,593,4807,917
5741001,15,37,73,122,169,64
5746001,52,111,160,265,1196,489
5748001,34,84,147,237,2745,599
6000003,14,36,72,120,171,48
6002001,17,41,83,139,180,56
6003001,17,42,84,140,180,54
6006001,16,39,79,133,176,51
6008005,19,47,95,150,184,63
6011001,74,133,224,3003,4913,1498
6013001,15,37,75,125,170,66
6015001,56,117,174,2317,4038,1089
6018001,71,121,169,404,3021,731
6019003,39,97,150,208,3103,650
6027001,17,43,85,140,176,83
6028001,20,50,99,153,185,66
6033011,87,127,177,493,2102,644
6034022,110,152,355,3122,4634,1557
6034023,41,101,149,198,2951,617
6035001,48,108,159,294,4443,855
6043001,34,86,134,175,200,134
6132001,111,136,179,373,1538,569
7102005,16,40,79,132,174,56
7103001,22,54,107,155,184,74
7104002,19,47,94,148,181,64
7112001,23,58,112,159,187,71
7115001,28,70,124,165,190,84
7116001,42,102,137,173,194,98
7123001,52,111,158,246,2730,627
7200002,94,118,150,182,217,126
7300001,30,74,128,171,197,102
7303000,25,64,119,163,190,78
7306001,26,65,121,165,191,83
7308001,25,63,118,160,185,83
7308002,25,63,119,163,190,79
7317003,23,58,112,158,185,68
7317005,24,59,114,159,186,69
7320003,23,58,112,159,187,80
7321002,26,64,119,163,189,74
7322001,32,80,132,174,199,227
7330001,34,84,134,176,216,103
7332001,101,138,204,2420,4951,1416
7335001,110,159,580,4920,4968,1960
7335002,4907,4922,4948,4974,4990,4969
7336001,106,124,154,185,244,146
7339001,117,145,193,1117,3627,949
7341001,103,122,154,185,255,142
7343001,105,124,156,188,273,145
7350001,26,65,120,163,189,83
7350002,34,85,132,170,194,102
7350003,19,48,97,149,181,74
7354002,23,57,111,158,185,78
7355001,35,87,134,173,196,100
7355002,21,52,103,153,183,72
7355003,10,25,50,75,90,62
7357002,114,154,458,4905,4962,1867
7358001,110,142,196,3627,4940,1532
7359001,107,146,315,4902,4961,1818
7372001,88,121,159,197,3362,772
7374001,78,118,155,192,469,181
7379002,115,157,705,3260,4910,1703
7381001,110,135,177,309,891,357
7383001,75,126,182,2029,4932,1256
7400001,111,127,155,182,199,119
8104001,27,68,122,164,189,81
8105001,28,70,124,165,190,83
8106002,28,70,124,165,190,82
8112001,37,92,134,171,193,98
8114001,117,157,309,2542,4396,1312
8117005,135,267,1671,2985,4908,1931
8117006,30,75,126,165,188,93
8123001,105,138,194,734,2235,680
8124001,120,176,931,2421,4238,1499
8124002,109,150,360,1605,2802,977
8130001,29,73,125,165,190,93
8130002,19,48,97,150,181,74
8132001,108,153,424,1821,2990,1101
8134003,1745,2341,3437,4912,4965,3460
8135002,122,178,1210,2805,4903,1700
8140002,109,158,793,3184,4936,1720
8141001,109,156,630,2999,4933,1644
8144001,115,142,188,464,1138,465
8210003,111,129,157,186,225,120
8220001,107,127,161,196,340,166
8220008,157,217,272,364,468,275
8220009,101,120,151,182,210,128
8220010,102,121,153,185,249,134
8304001,47,106,141,177,198,111
8307002,76,117,151,186,270,134
8308000,29,72,124,165,189,92
8312000,72,115,149,183,237,123
8312001,71,115,149,183,236,122
8313000,19,46,93,146,178,92
8313001,71,115,149,182,232,121
8316002,28,71,125,166,191,94
8317001,69,114,148,182,226,121
8317002,89,125,172,261,425,190
8317004,66,113,147,181,217,118
8317005,65,113,147,181,216,117
8319001,80,118,153,188,326,199
8323001,107,147,326,1382,3079,958
8323002,81,120,161,218,625,253
8324002,3993,4644,4763,4881,4953,4624
8330001,185,317,551,1096,1814,785
8332001,112,147,236,929,1396,529
8334001,100,126,170,372,1585,522
8342001,104,128,167,231,366,183
8343001,478,821,1317,1797,2278,1356
8351001,111,138,181,373,926,380
8356001,114,140,182,345,742,313
8358001,117,147,198,585,1840,609
8362001,103,122,153,184,232,129
8366002,2459,3256,4036,4668,4867,3926
8372002,25,63,118,162,188,86
8376001,40,100,138,176,198,99
8380001,45,104,143,181,241,156
8380006,45,104,143,181,241,157
8381003,49,108,150,191,1236,430
8383001,56,114,161,277,3851,806
8393002,115,137,174,340,834,286
8394001,105,134,184,790,3081,813
8700002,114,134,168,216,382,169
8700003,185,263,379,520,680,403
8720001,120,155,277,616,1202,461
8820001,20,50,100,150,180,100
8821001,30,74,125,163,185,100
8821002,20,50,99,150,180,99
8821003,111,127,154,181,197,115
8821006,102,120,149,178,196,121
8822002,110,125,150,175,190,102
8910001,106,123,151,179,195,186
