ID,gl_s_dga_ga_tot_n_none_c_c,gl_s_dga_ga_tot_s_none_c_c,gl_s_dga_gta_tot_n_none_c_c,gl_s_dga_gta_tot_s_none_c_c,gl_s_dga_rgla_tot_n_none_c_c,gl_s_dga_rgla_tot_s_none_c_c,gl_s_dga_gwe_tot_n_none_c_c,gl_s_dga_gwe_tot_s_none_c_c,gl_s_dga_gtwe_tot_n_none_c_c,gl_s_dga_gtwe_tot_s_none_c_c,gl_s_dga_rglwe_tot_n_none_c_c,gl_s_dga_rglwe_tot_s_none_c_c,gl_s_dga_galt_mean_n_none_c_c,gl_s_dga_galt_mean_s_none_c_c,gl_s_dga_gtalt_mean_n_none_c_c,gl_s_dga_gtalt_mean_s_none_c_c,gl_s_dga_rglalt_mean_n_none_c_c,gl_s_dga_rglalt_mean_s_none_c_c
5701001,14167389,28075465,1672435,4065943,10964716,21433263,571970379,977534997,18425002,42538467,137504696,242823686,3998,3866,4194,3997,3781,3508
5701002,15205491,29094247,1672435,4069890,13272007,24462888,597458426,997510532,18425002,42578879,158944473,262334911,3973,3854,4194,3997,3746,3502
5702001,17284,47725050,331445,2940641,8323333,11207521,452150,1947367022,3186707,32111390,88299365,130397532,4901,4235,5330,4366,3761,3530
5703006,0,3333625,0,191381,1606480,787460,0,124128481,0,2087574,16474208,7294618,0,3709,0,3746,3768,3529
5704002,23477494,102539144,2770548,9834568,25319547,45889675,846077791,3865651598,29074320,107799797,283489097,497099985,4158,4055,4506,4090,3761,3561
5705001,25639512,53910855,1769987,3198440,15878098,20793106,1125075272,2101093421,18930922,33392188,259713121,292228274,4704,4424,5310,4883,4095,3892
5706001,8362304,64358208,276365,2095457,4424963,4111481,297146857,3565400329,2829280,24292062,47806139,34218454,4685,4459,4974,4401,4120,3872
5707002,34001816,118269063,2046351,5297745,21031721,29730654,1422222129,5666493751,21760202,57733643,314467764,396646355,4700,4443,5265,4692,4090,3843
5710001,57480903,220806115,4816899,15131979,46425800,75928356,2268346119,9532047793,50834522,165530703,598419411,895896156,4478,4263,4828,4301,3909,3671
5716001,0,0,0,5913,21045,562444,0,0,0,22937,83146,3233235,0,0,0,3532,3356,3317
5720001,0,1930512,0,169712,570182,3422868,0,44943846,0,2089537,5440097,28526477,0,4723,0,4740,3605,3865
5721001,50063,5811544,0,156762,2092444,2089415,2093948,162599533,0,1554273,36246569,17707085,4557,4256,0,4628,4115,3597
5721016,505,4235,0,0,2877529,5667037,11377,111888,0,0,39668921,66400284,4291,4366,0,0,3874,3645
5722001,0,0,0,0,133729,402462,0,0,0,0,583208,3025081,0,0,0,0,3449,3333
5722002,49771,7747177,0,326474,5540155,11179321,2071971,207695081,0,3643810,81355587,112633846,4554,4373,0,4686,3937,3703
5730008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
